"Throttle Value","Fuel","FTIT","RPM",""
"0","196.76","200.00","27.97",""
"1","200.00","500.66","72.84","IDLE"
"2","1208.67","500.66","72.84",""
"3","1208.67","500.66","72.84",""
"4","1208.67","500.66","72.84",""
"5","1208.67","500.66","72.84",""
"6","1208.67","500.66","72.84",""
"7","1208.67","500.66","72.84",""
"8","1208.67","500.66","72.84",""
"9","1208.67","500.66","72.84",""
"10","1208.67","500.66","72.84",""
"11","1208.67","500.66","72.84",""
"12","1208.67","500.66","72.84",""
"13","1208.67","500.66","72.84",""
"14","1208.67","500.66","72.84",""
"15","1208.67","500.66","72.84",""
"16","1208.67","500.66","72.84",""
"17","1208.67","500.66","72.84",""
"18","1208.67","500.66","72.84",""
"19","1208.67","500.66","72.84","MIL"
"20","1208.67","500.66","72.84",""
"21","1334.26","502.62","73.85",""
"22","1459.84","504.58","74.86",""
"23","1585.42","506.54","75.87",""
"24","1711.01","508.50","76.88",""
"25","1836.59","510.46","77.89",""
"26","1962.17","512.42","78.90",""
"27","2087.76","514.38","79.91",""
"28","2213.34","516.34","80.92",""
"29","2338.92","518.30","81.93",""
"30","2464.51","520.26","82.94",""
"31","2591.73","524.49","83.48",""
"32","2718.96","528.71","84.02",""
"33","2846.19","532.94","84.55",""
"34","2973.41","537.17","85.09",""
"35","3100.64","541.40","85.63",""
"36","3227.86","545.63","86.17",""
"37","3355.09","549.86","86.71",""
"38","3482.32","554.09","87.25",""
"39","3609.54","558.32","87.79",""
"40","3736.77","562.54","88.33",""
"41","3839.14","566.42","88.68",""
"42","3941.52","570.29","89.03",""
"43","4043.89","574.17","89.38",""
"44","4146.27","578.04","89.73",""
"45","4248.64","581.92","90.08",""
"46","4351.02","585.79","90.44",""
"47","4453.39","589.67","90.79",""
"48","4555.77","593.54","91.14",""
"49","4658.14","597.42","91.49",""
"50","4760.52","601.29","91.84",""
"51","4867.94","605.20","92.11",""
"52","4975.37","609.11","92.38",""
"53","5082.80","613.01","92.66",""
"54","5190.23","616.92","92.93",""
"55","5297.65","620.83","93.20",""
"56","5405.08","624.74","93.47",""
"57","5512.51","628.64","93.74",""
"58","5619.93","632.55","94.01",""
"59","5727.36","636.46","94.28",""
"60","5834.79","640.37","94.56",""
"61","5967.73","645.85","94.86",""
"62","6100.67","651.34","95.17",""
"63","6233.61","656.82","95.48",""
"64","6366.55","662.31","95.79",""
"65","6499.48","667.79","96.10",""
"66","6632.42","673.28","96.41",""
"67","6765.36","678.76","96.72",""
"68","6898.30","684.25","97.02",""
"69","7031.24","689.74","97.33",""
"70","7164.18","695.22","97.64",""
"71","7262.24","699.22","97.85",""
"72","7360.29","703.22","98.07",""
"73","7458.35","707.22","98.28",""
"74","7556.40","711.23","98.49",""
"75","7654.46","715.23","98.70",""
"76","7752.51","719.23","98.92",""
"77","7850.57","723.23","99.13",""
"78","7948.62","727.23","99.34",""
"79","8046.68","731.23","99.56",""
"80","8144.73","735.23","99.77",""
"81","8213.13","738.03","99.87",""
"82","8281.53","740.82","99.98",""
"83","8349.93","743.62","100.08","AB"
"84","8418.33","746.41","100.19",""
"85","8486.73","749.20","100.30",""
"86","8555.13","752.00","100.40",""
"87","8623.52","754.79","100.50",""
"88","8691.92","757.59","100.61",""
"89","8760.32","760.38","100.72",""
"90","8828.72","763.18","100.82",""
"91","9724.42","764.50","100.83",""
"92","10620.12","765.83","100.83",""
"93","11515.82","767.16","100.84",""
"94","12411.52","768.49","100.84",""
"95","13307.23","769.81","100.85",""
"96","14202.93","771.14","100.86",""
"97","15098.63","772.47","100.86",""
"98","15994.33","773.79","100.87",""
"99","16890.03","775.12","100.88",""
"100","17785.73","776.45","100.88",""
"101","18707.79","776.48","100.88",""
"102","19629.85","776.51","100.89",""
"103","20551.91","776.53","100.89",""
"104","21473.97","776.56","100.89",""
"105","22396.02","776.59","100.89",""
"106","23318.08","776.62","100.89",""
"107","24240.14","776.65","100.89",""
"108","25162.20","776.68","100.89",""
"109","26084.26","776.71","100.89",""
"110","27006.32","776.73","100.89",""
"111","27983.52","777.29","100.89",""
"112","28960.72","777.84","100.89",""
"113","29937.91","778.40","100.89",""
"114","30915.11","778.95","100.88",""
"115","31892.31","779.50","100.88",""
"116","32869.51","780.06","100.88",""
"117","33846.71","780.61","100.88",""
"118","34823.91","781.17","100.87",""
"119","35801.11","781.72","100.87",""
"120","36778.31","782.28","100.87",""
"121","37375.50","781.60","100.87",""
"122","37972.70","780.91","100.87",""
"123","38569.89","780.23","100.87",""
"124","39167.09","779.55","100.87",""
"125","39764.28","778.87","100.88",""
"126","40361.48","778.19","100.88",""
"127","40958.68","777.51","100.88",""
